Bib	Wave	Team	Start	End	Num Laps	Laps Started																
789	3	M40S	6:19:48	9:33:58	4	4	6:19:48	7:03:09	7:03:09	7:47:46	7:47:46	8:36:45	8:36:46	9:33:58								
778	1	M30S	6:14:35	9:21:51	4	4	6:14:35	7:01:01	7:01:01	7:47:58	7:47:58	8:33:38	8:33:38	9:21:51								
714	3	M40S	6:19:45	9:17:48	4	4	6:19:45	7:06:27	7:06:27	7:48:33	7:48:34	8:31:59	8:31:59	9:17:48								
722	3	M40S	6:19:37	9:38:59	4	4	6:19:37	7:04:37	7:04:37	7:49:28	7:49:28	8:41:09	8:41:09	9:38:59								
64	2	M20S	6:17:24	9:23:53	4	4	6:17:24	7:03:08	7:03:08	7:49:57	7:49:57	8:37:09	8:37:09	9:23:53								
636	1	M30S	6:14:42	9:31:37	4	4	6:14:41	7:02:23	7:02:23	7:50:08	7:50:08	8:38:40	8:38:41	9:31:37								
740	4	M50S	6:22:45	9:26:05	4	4	6:22:45	7:07:18	7:07:18	7:50:37	7:50:37	8:36:38	8:36:38	9:26:05								
671	3	M40S	6:19:39	9:22:14	4	4	6:19:39	7:03:57	7:03:58	7:50:43	7:50:44	8:35:20	8:35:21	9:22:14								
597	1	M30S	6:14:33	10:04:14	4	4	6:14:33	7:00:46	7:00:46	7:51:04	7:51:05	8:52:19	8:52:20	10:04:14								
680	3	M40S	6:19:33	9:24:51	4	4	6:19:33	7:06:23	7:06:23	7:51:13	7:51:13	8:37:29	8:37:29	9:24:51								
545	2	M20S	6:17:25	10:03:49	4	4	6:17:25	7:04:23	7:04:23	7:51:37	7:51:37	8:56:51	8:56:51	10:03:49								
643	1	M30S	6:14:39	9:46:42	4	4	6:14:39	7:02:19	7:02:19	7:51:42	7:51:42	8:46:04	8:46:04	9:46:42								
699	3	M40S	6:19:39	9:27:43	4	4	6:19:39	7:06:22	7:06:23	7:52:03	7:52:04	8:39:49	8:39:49	9:27:43								
819	3	M40S	6:19:40	9:46:12	4	4	6:19:40	7:05:54	7:05:54	7:53:37	7:53:37	8:47:31	8:47:32	9:46:12								
713	3	M40S	6:19:36	9:44:02	4	4	6:19:36	7:07:16	7:07:16	7:54:30	7:54:30	8:46:00	8:46:01	9:44:02								
787	3	M40S	6:19:37	9:48:40	4	4	6:19:37	7:07:09	7:07:09	7:54:39	7:54:39	8:49:30	8:49:31	9:48:40								
770	2	M20S	6:17:30	9:54:50	4	4	6:17:30	7:07:03	7:07:03	7:54:41	7:54:42	8:49:43	8:49:44	9:54:50								
522	4	MSUB20	6:22:40	9:49:48	4	4	6:22:40	7:07:06	7:07:14	7:54:47	7:55:37	8:46:46	8:46:46	9:49:48								
61	3	M40S	6:19:45	9:52:01	4	4	6:19:45	7:06:47	7:06:48	7:55:00	7:55:00	8:56:27	8:56:28	9:52:01								
707	3	M40S	6:19:39	9:35:16	4	4	6:19:39	7:06:47	7:06:48	7:55:19	7:55:19	8:43:13	8:43:13	9:35:16								
623	1	M30S	6:15:40	10:02:28	4	4	6:15:40	7:04:34	7:04:34	7:55:34	7:55:34	8:54:31	8:54:32	10:02:28								
748	4	M50S	6:22:46	9:33:08	4	4	6:22:46	7:10:28	7:10:29	7:55:36	7:55:36	8:44:00	8:44:01	9:33:08								
602	1	M30S	6:27:53	null	4	4	6:27:53	7:11:43	7:11:44	7:55:43	7:55:43	8:46:11	8:46:12	null								
675	3	M40S	6:19:50	9:24:13	4	4	6:19:50	7:09:52	7:09:52	7:56:44	7:56:44	8:40:21	8:40:21	9:24:13								
560	2	M20S	6:17:22	8:32:50	4	4	6:17:21	6:49:32	6:49:32	7:22:30	7:22:30	7:57:04	7:57:06	8:32:50								
502	4	F20S	6:22:42	9:40:41	4	4	6:22:42	7:10:36	7:10:37	7:57:29	7:57:29	8:47:49	8:47:52	9:40:41								
708	3	M40S	6:19:43	10:06:29	4	4	6:19:43	7:08:02	7:08:03	7:57:49	7:57:50	8:52:09	8:52:10	10:06:29								
709	3	M40S	6:19:52	9:45:44	4	4	6:19:52	7:07:35	7:07:36	7:58:00	7:58:01	8:48:36	8:48:36	9:45:44								
711	3	M40S	6:19:47	9:41:34	4	4	6:19:47	7:08:29	7:08:29	7:58:07	7:58:07	8:48:00	8:48:00	9:41:34								
552	2	M20S	6:17:26	10:14:19	4	4	6:17:26	7:07:08	7:07:08	7:58:24	7:58:24	9:02:19	9:02:19	10:14:19								
743	4	M50S	6:22:44	9:54:02	4	4	6:22:44	7:10:20	7:10:20	7:58:26	7:58:26	8:53:24	8:53:24	9:54:02								
593	1	M30S	6:14:29	10:00:22	4	4	6:14:30	7:05:05	7:05:05	7:58:37	7:58:37	8:58:53	8:58:54	10:00:22								
530	2	M20S	6:22:44	9:48:58	4	4	6:22:44	7:13:25	7:13:26	7:59:29	7:59:29	8:50:55	8:50:55	9:48:58								
540	2	M20S	6:17:30	null	4	4	6:17:30	7:07:41	7:07:42	8:00:21	8:00:22	9:12:16	9:12:17	null								
